Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2
Transf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,4,4,4,2,2,2,2,3,3,3,3
Date,"Bankruptcies, All Sectors, Businesses of All Sizes, 12-Month Cumulative","Bankruptcies, Industry, Businesses of All Sizes, Monthly Cumulative, Calendar Adjusted, SA","Construction Status, Number, Residential, Total (Excluding Mayotte), French Ministry of Ecology, Sustainable Development & Energy (SOeS), Permits","Construction Status, Number, Residential, Total (Whole France), French Ministry of Ecology, Sustainable Development & Energy (SOeS), Permits","FX Indices, Bruegel, Real Effective Exchange Rate Index (REER)","FX Indices, European Commission, Nominal Effective Exchange Rate Index (Broad Group 42)","FX Indices, European Commission, Nominal Effective Exchange Rate Index (EU28)","FX Indices, European Commission, Nominal Effective Exchange Rate Index (Euro Area)","FX Indices, European Commission, Nominal Effective Exchange Rate Index (IC37)","FX Indices, European Commission, Real Effective Exchange Rate Index (Broad Group 42)","FX Indices, European Commission, Real Effective Exchange Rate Index (EU28)","FX Indices, European Commission, Real Effective Exchange Rate Index (Euro Area)","FX Indices, European Commission, Real Effective Exchange Rate Index (IC37)","FX Spot Rates, Macrobond, FRF per USD, End of Period","Government Benchmarks, Eurostat, Government Bond, 10 Year, Yield","Balance Sheet & Flows of MFI Sector, MFIs Excluding Central Bank, Assets, Total, EUR","Balance Sheet & Flows of MFI Sector, MFIs Excluding Central Bank, Assets, Domestic Loans, Total, EUR","Balance Sheet & Flows of MFI Sector, MFIs Excluding Central Bank, Liabilities, Total, EUR","Consumer Price Index, Total, Index","Consumer Price Index, Alcoholic Beverages, Tobacco & Narcotics, Index","Consumer Price Index, Clothing & Footwear, Index","Consumer Price Index, Communications, Index","Consumer Price Index, Education, Index","Consumer Price Index, Food & Non-Alcoholic Beverages, Index","Consumer Price Index, Furnishings, Household Equipment & Routine Household Maintenance, Index","Consumer Price Index, Health, Index","Consumer Price Index, Housing, Water, Electricity, Gas & Other Fuels, Index","Consumer Price Index, Miscellaneous Goods & Services, Index","Consumer Price Index, Recreation & Culture, Index","Consumer Price Index, Restaurants & Hotels, Index","Consumer Price Index, Transport, Index","Producer Price Index, Industry, Total, Overall Industry, Index, Basic Prices","Industrial Production, Total Industry Excluding Construction, Calendar Adjusted, SA, Index","Industrial Production, Manufacturing, Calendar Adjusted, SA, Index","Metal Production, Crude Steel","Oil & Gas, Total Petroleum Consumption","Oil & Gas, Total Oil Supply","Business Surveys, Bank of France, Industry, Total, Business Sentiment Indicator, SA, Index, 3 Month Moving Average","Consumer Surveys, DG ECFIN, Consumer Confidence, Balance, SA","Consumer Surveys, DG ECFIN, Consumer Confidence, Financial Situation over Last 12 Months, Balance, SA","Consumer Surveys, DG ECFIN, Consumer Confidence, Unemployment Expectations over Next 12 Months, Balance, SA","Consumer Surveys, DG ECFIN, Consumer Confidence, Savings at Present, Balance, SA","Consumer Surveys, DG ECFIN, Consumer Confidence, Price Trends over Last 12 Months, Balance, SA","Consumer Surveys, DG ECFIN, Consumer Confidence, General Economic Situation over Next 12 Months, Balance, SA","Consumer Surveys, DG ECFIN, Consumer Confidence, General Economic Situation over Last 12 Months, Balance, SA","Economic Surveys, DG ECFIN, Economic Sentiment Indicator, Balance, SA","Monetary Statistics, Monetary Aggregates, M1, Total, EUR","Monetary Statistics, Monetary Aggregates, M2, Total, EUR","Monetary Statistics, Monetary Aggregates, M3, Total, EUR","Domestic Trade, Retail Trade, Total, Constant Prices, SA","Domestic Trade, Vehicle Registration (CCFA), Cars, Total","Domestic Trade, Vehicle Sales & Registrations, New, Passenger Cars, Total, Calendar Adjusted, SA","Domestic Trade, Vehicle Sales & Registrations, New, Passenger Cars, Total, Calendar Adjusted, SA","Foreign Trade, Export, Calendar Adjusted, SA, EUR","Foreign Trade, Import, Calendar Adjusted, SA, EUR","Foreign Trade, Trade Balance, Calendar Adjusted, SA, EUR","FX Indices, BIS, Real Effective Exchange Rate Index, Broad","FX Indices, BIS, Real Effective Exchange Rate Index, Narrow","FX Indices, Central Bank of Italy, Competitiveness Indicator (Vis A' Vis 61 Partner Countries), Deflated by PPI, Index","FX Spot Rates, BIS, EUR per USD, Average of Period",1 Month,3 Month,spread,"Unemployment, Rate, Women & Men, Total, France Excluding Overseas Departments, SA"
1995-01-31,60665,583,28007,27460.804,101.835111,88.135729,95.462983,98.296417,91.627684,105.927278,104.324913,103.7744,104.335471,5.2583,8.23,2.70E+12,1.57E+12,2.70E+12,74.52,45.55,89.01,162.4,65.76,72.18,80.53,98.35,61.71,67.42,109.25,62.94,66.77,79,93.62,94.18,1596000,1967000,111000,111.865,-4.3,-9.4,30.9,59,2.7,-7.8,-36.6,112.7,2.57E+11,5.36E+11,7.84E+11,80.38,155915,162598,162598,17770000000,17132000000,638000000,108.79,104.63,106.99396,0.807678,5.612727273,5.846363636,2.383636364,9.966666667
1995-02-28,60428,598,26630,26110.658,102.144171,88.584015,95.604985,98.123389,91.944208,106.093129,104.253632,103.40121,104.471834,5.1474,8.01,2.72E+12,1.58E+12,2.72E+12,74.75,45.64,90.55,162.4,65.79,72.15,80.63,98.55,61.9,67.42,109.48,63.04,67.11,79.2,92.98,94.57,1480000,1915000,111000,109.622,-4.8,-10.2,22.5,58.5,6.5,-8.6,-35,110.6,2.51E+11,5.32E+11,7.91E+11,79.31,151644,161853,161853,18106000000,17292000000,814000000,109.05,104.82,106.7389,0.796401,5.645,5.847,2.163,9.933333333
1995-03-31,60127,604,28635,28076.557,104.279569,90.516433,97.093153,99.103989,93.573747,108.018747,105.633338,104.291649,106.064865,4.796,8.02,2.74E+12,1.58E+12,2.74E+12,74.98,45.68,92.76,161.63,65.82,72.35,81.07,99.27,61.94,67.41,109.29,63.15,66.98,79.3,93.77,93.94,1638000,2020000,119000,105.887,-6,-11.2,17.3,57.6,4.8,-11.6,-37.7,109.5,2.50E+11,5.39E+11,7.93E+11,79.35,185916,155440,155440,17787000000,16735000000,1052000000,110.9,106.34,108.66343,0.759704,8.05173913,8.066956522,-0.046956522,9.9
1995-04-30,59802,597,27107,26578.356,105.277268,91.762122,98.627961,100.416485,94.643209,109.092664,107.128211,105.624569,107.017516,4.9078,7.82,2.73E+12,1.58E+12,2.73E+12,75.07,45.7,92.76,161.55,65.84,72.48,81.22,99.35,62.03,67.54,109.18,63.3,67.08,79.3,93.81,94.3,1587000,1853000,110000,104.062,-6.1,-10.8,12.7,54.1,1.9,-13.1,-38,109.3,2.56E+11,5.49E+11,8.02E+11,79.02,161355,161290,161290,17937000000,16983000000,954000000,111.94,107.31,109.48725,0.739048,8.0625,7.8915,-0.0715,9.833333333
1995-05-31,59212,603,26700,26179.293,102.644609,89.580515,96.395397,98.092987,92.490487,106.193427,104.581238,103.1435,104.423237,4.9708,7.52,2.74E+12,1.59E+12,2.74E+12,75.18,45.73,92.69,161.54,65.82,72.84,81.32,99.41,62.11,67.52,109.12,63.4,67.16,79.5,93.35,93.6,1625000,1782000,110000,104.712,-2.9,-10.5,-0.9,55.9,-3.1,-3.8,-38.3,109.4,2.49E+11,5.42E+11,8.01E+11,79.85,157665,158173,158173,18109000000,17372000000,737000000,109.37,104.99,106.60568,0.759435,7.92,7.62826087,-0.10826087,9.766666667
1995-06-30,58686,607,34024,33360.46,103.452764,90.463698,97.23487,98.892339,93.428701,106.898558,105.288032,103.735286,105.253782,4.8475,7.45,2.76E+12,1.59E+12,2.76E+12,75.18,45.78,92.09,161.33,65.84,72.65,81.44,99.51,62.13,67.53,109.29,63.59,67.3,79.5,93.96,94.35,1656000,1866000,110000,103.975,-1.3,-9.9,-2.8,61.1,-1,0.8,-34.3,107.8,2.60E+11,5.54E+11,8.13E+11,84.14,198012,243954,243954,19124000000,18049000000,1075000000,109.98,105.62,107.71687,0.749497,7.501363636,7.290454545,0.159545455,9.7
1995-07-31,58476,621,27117,26588.161,104.423005,91.587041,98.094959,99.567285,94.6462,107.923242,106.053098,104.159496,106.430761,4.7743,7.43,2.74E+12,1.59E+12,2.74E+12,75.04,45.83,90.16,158.51,65.84,72.25,81.54,99.49,62.18,67.57,109.13,63.83,67.56,79.7,94.41,94.8,1570000,1952000,110000,101.697,-3.3,-9,-1,57.5,-2.2,-5.6,-33.3,106.6,2.62E+11,5.58E+11,8.20E+11,79.74,192832,138577,138577,17501000000,17332000000,169000000,110.96,106.52,109.28408,0.736831,6.718571429,6.514285714,0.915714286,9.633333333
