Target,0,0,0,0,0,0,0,0,0,0,0,0
Transf,2,3,3,3,3,3,3,3,3,3,3,3
Date,"FX Spot Rates, Macrobond, ITL per USD","Government Benchmarks, Macrobond, 10 Year, Yield","Government Benchmarks, Macrobond, 2 Year, Yield","Government Benchmarks, Macrobond, 5 Year, Yield","Government Benchmarks, Macrobond, 1 Year, Yield","Government Benchmarks, Macrobond, 3 Year, Yield","Government Benchmarks, Macrobond, 30 Year, Yield","Interbank Rates, LIBOR, 1 Month, Fixing","Interbank Rates, LIBOR, 12 Month, Fixing","Interbank Rates, LIBOR, 2 Month, Fixing","Interbank Rates, LIBOR, 3 Month, Fixing","Interbank Rates, LIBOR, 6 Month, Fixing"
1995-01-01,1622.2502,12.41,11.5,12.39,11.34,12.15,12.71,8.60938,10.625,8.92188,9.125,9.92188
1995-01-02,1622.2502,12.46,11.53,12.4,11.35,12.13,12.78,8.60938,10.625,8.92188,9.125,9.92188
1995-01-03,1620.4482,12.38,11.48,12.26,11.22,11.96,12.69,8.46875,10.5,8.78125,8.96094,9.79688
1995-01-04,1626.898,12.37,11.47,12.3,11.19,11.93,12.66,8.4375,10.375,8.75,8.9375,9.6875
1995-01-05,1622.1983,12.48,11.55,12.39,11.37,12.02,12.74,8.5,10.4375,8.75,8.9375,9.6875
1995-01-06,1629.4476,12.48,11.55,12.39,11.37,12.02,12.74,8.57813,10.5625,8.8125,9.0625,9.75
1995-01-07,1629.4476,12.48,11.55,12.39,11.37,12.02,12.74,8.57813,10.5625,8.8125,9.0625,9.75
1995-01-08,1629.4476,12.48,11.55,12.39,11.37,12.02,12.74,8.57813,10.5625,8.8125,9.0625,9.75
1995-01-09,1629.9727,12.63,11.66,12.56,11.49,12.14,12.81,8.5,10.4688,8.75,8.98438,9.625
1995-01-10,1624.848,12.64,11.81,12.6,11.67,12.3,12.93,8.9375,10.8125,9.17188,9.4375,10
1995-01-11,1627.3501,12.54,11.65,12.5,11.49,12.19,12.85,8.9375,10.75,9.14063,9.375,9.9375
1995-01-12,1620.4484,12.51,11.68,12.48,11.52,12.19,12.8,8.92188,10.75,9.15625,9.35938,9.92188
1995-01-13,1619.4487,12.46,11.61,12.45,11.53,12.09,12.73,9.03906,10.875,9.28125,9.5,10.0938
1995-01-14,1619.4487,12.46,11.61,12.45,11.53,12.09,12.73,9.03906,10.875,9.28125,9.5,10.0938
1995-01-15,1619.4487,12.46,11.61,12.45,11.53,12.09,12.73,9.03906,10.875,9.28125,9.5,10.0938
1995-01-16,1600.9741,12.24,11.34,12.15,11.36,11.81,12.5,8.75,10.5,8.9375,9.125,9.73438
1995-01-17,1605.4489,12.27,11.45,12.23,11.41,11.95,12.54,8.6875,10.4375,8.875,9.0625,9.65625
1995-01-18,1617.3602,12.31,11.48,12.26,11.36,12.01,12.57,8.875,10.5625,9.03125,9.21875,9.8125
1995-01-19,1611.949,12.32,11.39,12.24,11.39,11.97,12.59,8.8125,10.4375,9,9.17188,9.625
1995-01-20,1591.3872,12.35,11.39,12.25,11.42,11.96,12.62,8.8125,10.5,9,9.1875,9.73438
1995-01-21,1591.3872,12.35,11.39,12.25,11.42,11.96,12.62,8.8125,10.5,9,9.1875,9.73438
1995-01-22,1591.3872,12.35,11.39,12.25,11.42,11.96,12.62,8.8125,10.5,9,9.1875,9.73438
1995-01-23,1584.52,12.24,11.29,12.12,11.32,11.87,12.51,8.625,10.2969,8.8125,8.95313,9.46875
1995-01-24,1585.5754,12.25,11.27,12.13,11.21,11.86,12.56,8.625,10.2031,8.75,8.91406,9.39063
1995-01-25,1598.4499,12.34,11.29,12.2,11.2,11.86,12.63,8.59375,10.2031,8.75,8.875,9.40625
1995-01-26,1598.0002,12.3,11.25,12.17,11.21,11.85,12.61,8.625,10.25,8.75,8.9375,9.5
1995-01-27,1599.4499,12.3,11.21,12.18,11.12,11.83,12.64,8.57813,10.25,8.75,8.9375,9.48438
1995-01-28,1599.4499,12.3,11.21,12.18,11.12,11.83,12.64,8.57813,10.25,8.75,8.9375,9.48438
1995-01-29,1599.4499,12.3,11.21,12.18,11.12,11.83,12.64,8.57813,10.25,8.75,8.9375,9.48438
1995-01-30,1598.4498,12.33,11.25,12.23,11.13,11.81,12.67,8.5625,10.2344,8.75,8.9375,9.4375
1995-01-31,1601.4496,12.34,11.26,12.26,11.09,11.79,12.73,8.57813,10.25,8.75,8.9375,9.47656
1995-02-01,1608.6992,12.35,11.3,12.25,11.13,11.77,12.7,8.53125,10.1875,8.75,8.90625,9.375
1995-02-02,1605.9994,12.33,11.24,12.25,11.09,11.82,12.64,8.5,10.1875,8.6875,8.84375,9.39844
1995-02-03,1613.3235,12.28,11.2,12.2,10.98,11.77,12.59,8.4375,10.125,8.64063,8.8125,9.32813
1995-02-04,1613.3235,12.28,11.2,12.2,10.98,11.77,12.59,8.4375,10.125,8.64063,8.8125,9.32813
1995-02-05,1613.3235,12.28,11.2,12.2,10.98,11.77,12.59,8.4375,10.125,8.64063,8.8125,9.32813
