Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Transf,2,2,2,2,3,4,4,4,4,2,2,2,2,2,2,3,2,2,2,2,4,2,2,4,3
Date,"France, ECB Compensation per Employee, Total, SA, Index","France, Construction Finances, Residential, Index, French National Institute of Statistics & Economic Studies (INSEE), Costs","France, Construction Finances, Residential (Average of the 4 Latest Values), Index, French National Institute of Statistics & Economic Studies (INSEE), Costs","France, Real Estate Indicators, Personal Disposable Income, Current Prices, Federal Reserve Bank of Dallas","France, Real Estate Indicators, UBS Real Estate Bubble Index, Paris, UBS","France, Flow, Total Economy, Total, EUR, Assets","France, Flow, Total Economy, Total, EUR, Liabilities","France, Stock, Total Economy, Total, EUR, Assets","France, Stock, Total Economy, Total, EUR, Liabilities","France, Wages & Salaries, Average Wages, Total, Current Prices, SA, Per Capita, EUR","France, Wages & Salaries, Hourly, Laborers, All Non-Agricultural Sectors, Index","France, Employment, Total, Individual, All Branches, SA","France, Productivity, Costs & Hours Worked, Average Weekly Hours Worked, Total (All Non-Agricultural Sectors)","France, Productivity, Costs & Hours Worked, Labor Costs, ECB Unit Labour Cost, SA, Index","France, Productivity, Costs & Hours Worked, Labor Costs, Salaries Including Charges, All Sectors, Index","France, BIS Credit to GDP, From All Sectors To Private Sector, Credit to GDP Gaps, Actual Trend, Percent of GDP","France, BIS Credit to GDP, From All Sectors To Private Sector, Credit to GDP Ratios, Actual Data, Percent of GDP","France, Expenditure Approach, External Balance, Import, Total, Calendar Adjusted, Current Prices, SA, EUR","France, Expenditure Approach, Domestic Final Demand, Total, Calendar Adjusted, Current Prices, SA, EUR","France, Expenditure Approach, Domestic Final Demand, Total, At Previous Year Prices, Calendar Adjusted, Constant Prices, SA, Chained, EUR","France, Production Approach, Subsidies, Total, Calendar Adjusted, Current Prices, SA, EUR","France, Production Approach, Taxes on Production, Total, Current Prices, SA, EUR","France, Gross Domestic Product, Total, Calendar Adjusted, Current Prices, SA, EUR","France, Production Approach, Subsidies, Total, Calendar Adjusted, Current Prices, SA, EUR","France, Production Approach, Taxes on Production, Total, Current Prices, SA, EUR"
1995-03-31,68.466118,1011,1017,72.66837,-0.41,,,,,5304.45,57.105719,23574500,38.94,78.941964,,0.6,132.6,62961000000,2.96E+11,3.90E+11,-3789000000,12054000000,3.02E+11,-3789000000,12054000000
1995-06-30,68.928842,1023,1018.25,73.578502,-0.47,,,,,5338.34,57.62565,23622000,38.95,79.301997,,0.5,133,64313000000,2.99E+11,3.91E+11,-3863000000,12333000000,3.04E+11,-3863000000,12333000000
1995-09-30,69.191893,1024,1019.25,74.120648,-0.51,,,,,5368.57,57.79896,23669500,38.96,79.620425,,-0.5,132.4,64483000000,3.02E+11,3.94E+11,-3887000000,12498000000,3.06E+11,-3887000000,12498000000
1995-12-31,69.35272,1013,1017.75,74.716759,-0.63,,,7.95E+12,7.83E+12,5392.05,57.97227,23713600,38.91,79.827155,,-2.4,130.8,64604000000,3.03E+11,3.93E+11,-3861000000,12804000000,3.07E+11,-3861000000,12804000000
1996-03-31,69.781112,1038,1024.5,74.986015,-0.73,1.08E+11,1.20E+11,8.17E+12,8.07E+12,5415.23,58.405546,23744300,38.9,79.98864,,-3.4,130.1,65624000000,3.05E+11,3.95E+11,-3801000000,13114000000,3.11E+11,-3801000000,13114000000
1996-06-30,70.169593,1029,1026,75.734678,-0.81,1.39E+11,1.14E+11,8.34E+12,8.21E+12,5440.62,59.012132,23765500,38.91,80.255562,,-3.9,129.9,66009000000,3.07E+11,3.96E+11,-3787000000,13362000000,3.12E+11,-3787000000,13362000000
1996-09-30,70.466529,1030,1027.5,75.775013,-0.76,1.68E+11,1.64E+11,8.50E+12,8.36E+12,5458.83,59.272097,23786000,38.92,80.199739,,-5,128.8,66273000000,3.09E+11,3.97E+11,-3835000000,13468000000,3.14E+11,-3835000000,13468000000
